episode,#,question,answer,filename
,10,КОЈА ИТАЛИЈАНСКА ТЕНИСЕРКА И СУПРУГА ТЕНИСЕРА ФАБИЈА ФОЊИНИЈА ЈЕ ОСВОЈИЛА ЈУ-ЕС ОПЕН У СИНГЛУ 2015. ГОДИНЕ?,ФЛАВИЈА ПЕНЕТА,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.03 Slagalica.mp4
2020.11.04 Slagalica.mp4,,,,
,1,ИЗ КОЈЕ ДРЖАВЕ СУ БИЛИ РЕВОЛУЦИОНАРИ ЕМИЛИЈАНО ЗАПАТА И ПАНЧО ВИЉА?,ИЗ МЕКСИКА,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.04 Slagalica.mp4
,2,ХРОНИКА КОГ ГРАДА У БОСНИ И ХЕРЦЕГОВИНИ ПРЕДСТАВЉА НАСЛОВ РОМАНА ИВЕ АНДРИЋА?,ТРАВНИКА („ТРАВНИЧКА ХРОНИКА“),E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.04 Slagalica.mp4
,3,КОЈИ ЕВРОПСКИ ГЛАВНИ ГРАД ЈЕ ОД 1945. ДО 1955. ГОДИНЕ ПОПУТ БЕРЛИНА БИО ПОДЕЉЕН НА ЧЕТИРИ ОКУПАЦИОНЕ ЗОНЕ?,БЕЧ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.04 Slagalica.mp4
,4,КОЈИ СРПСКИ ГЛУМАЦ ТУМАЧИ ГЛАВНУ УЛОГУ У ФИЛМУ „ВЛАЖНОСТ“ ИЗ 2016. ГОДИНЕ?,МИЛОШ ТИМОТИЈЕВИЋ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.04 Slagalica.mp4
,5,"ПЛАНИНСКИ ЛАНАЦ БЕСКИДИ НАЛАЗИ СЕ НА АЗИЈСКОМ, АФРИЧКОМ ИЛИ ЕВРОПСКОМ КОНТИНЕНТУ?",НА ЕВРОПСКОМ КОНТИНЕНТУ (ДЕО КАРПАТА),E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.04 Slagalica.mp4
,6,КОЈИ ЈЕ НАЗИВ ОД 17 СЛОВА ЗА СПОСОБНОСТ СТВАРАЊА И ЕМИТОВАЊА СВЕТЛОСТИ КОД ЖИВИХ ОРГАНИЗАМА?,БИОЛУМИНИСЦЕНЦИЈА,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.04 Slagalica.mp4
,7,У КОМ НАШЕМ ГРАДУ СЕ ОД 1987. ГОДИНЕ ОДРЖАВА ЛЕТЊА КУЛТУРНА МАНИФЕСТАЦИЈА „ТЕШЊАРСКЕ ВЕЧЕРИ“?,У ВАЉЕВУ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.04 Slagalica.mp4
,8,КОЈА ПТИЦА СЕ МОЖЕ ВИДЕТИ НА ГРБОВИМА РУМУНИЈЕ И МОЛДАВИЈЕ?,ОРАО,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.04 Slagalica.mp4
,9,СЛАВНА НАИВНА СЛИКАРКА ИЗ КОВАЧИЦЕ ЗУЗАНА ХАЛУПОВА БИЛА ЈЕ ПРИПАДНИЦА КОЈЕ НАЦИОНАЛНЕ МАЊИНЕ?,СЛОВАЧКЕ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.04 Slagalica.mp4
,10,У КОМ СРПСКОМ ГРАДУ ЈЕ 1990. ГОДИНЕ ОДРЖАНА ШАХОВСКА ОЛИМПИЈАДА?,У НОВОМ САДУ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.04 Slagalica.mp4
2020.11.05 Slagalica.mp4,,,,
,1,ДОПУНИТЕ НАСЛОВ ЕМИСИЈЕ ДРУГОГ ПРОГРАМА РТС ИМЕНОМ НАШЕ ПОЗНАТЕ ТВ НОВИНАРКЕ: „ВИ И... “?,МИРА АДАЊА ПОЛАК,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.05 Slagalica.mp4
,2,У КОМ ВЕКУ ЈЕ ЖИВЕО И СТВАРАО РУСКИ КЊИЖЕВНИК МИХАИЛ ШОЛОХОВ?,У 20. ВЕКУ (1905-1984),E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.05 Slagalica.mp4
,3,"ПОЗНАТИ ЏЕЗ МУЗИЧАР МИХАИЛО МИША БЛАМ ПРОСЛАВИО СЕ СВИРАЈУЋИ ТРУБУ, КОНТРАБАС ИЛИ ГИТАРУ?",КОНТРАБАС,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.05 Slagalica.mp4
,4,КОЈА ЛЕКОВИТА БИЉКА НА СЛОВО „К“ СЕ ЈОШ НАЗИВА БОГОРОДИЧИНА ТРАВА?,КАНТАРИОН,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.05 Slagalica.mp4
,5,"КРОЗ КОЛИКО ЧАСОВНИХ ЗОНА СЕ ПРОСТИРЕ ТЕРИТОРИЈА НАРОДНЕ РЕПУБЛИКЕ КИНЕ: ПЕТ, ТРИ ИЛИ ЈЕДНУ?",КРОЗ ЈЕДНУ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.05 Slagalica.mp4
,6,"КАКО СЕ ПО РОЂЕЊУ ПРЕЗИВАЛА СРПСКА КРАЉИЦА АНА, ДРУГА СУПРУГА КРАЉА СТЕФАНА ПРВОВЕНЧАНОГ?",ДАНДОЛО,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.05 Slagalica.mp4
,7,У КОЈОЈ ДРЖАВИ ЈЕ ОСАМ ЕЛИТНИХ УНИВЕРЗИТЕТА ГРУПИСАНО У ТАКОЗВАНУ „ЛИГУ БРШЉАНА“ („МУ LEAGUE“)??,У САД,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.05 Slagalica.mp4
,8,"АКО СЕ ЈЕДАН БЛИЗАНАЦ У ГРЧКО-РИМСКОМ МИТУ ЗОВЕ ПОЛИДЕУК ИЛИ ПОЛУКС, КОЈЕ ЈЕ ИМЕ ДРУГОГ БЛИЗАНЦА?",КАСТОР,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.05 Slagalica.mp4
,9,КОЈА РЕКА НА СЛОВО „А“ ЈЕ ЈЕДИНА КОЈА ИСТИЧЕ ИЗ БАЈКАЛСКОГ ЈЕЗЕРА?,АНГАРА,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.05 Slagalica.mp4
,10,"КОСТА ХАЏИ ЈЕ 1914. ГОДИНЕ БИО ЈЕДАН ОД ОСНИВАЧА, А КАСНИЈЕ ТРЕНЕР И ПРЕДСЕДНИК КОГ НАШЕГ ФУДБАЛСКОГ КЛУБА?",ВОЈВОДИНА (НОВИ САД),E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.05 Slagalica.mp4
2020.11.06 Slagalica.mp4,,,,
,1,КАКО СЕ КОД НАС НАЗИВА СИСТЕМ УЗИМАЊА МУШКЕ ДЕЦЕ ИЗ ОСВОЈЕНИХ ХРИШЋАНСКИХ ЗЕМАЉА У ОСМАНСКОМ ЦАРСТВУ?,ДАНАК У КРВИ (ТУР. ДЕВШИРМЕ / ДЕВШИРМА),E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.06 Slagalica.mp4
,2,ФИЛМ „БРАЋА ПО БАБИНЕ ЛИНИЈЕ“ НАСТАО ЈЕ ИЗ КОЈЕ ДОМАЋЕ ТВ СЕРИЈЕ?,"СЕЛО ГОРИ, А БАБА СЕ ЧЕШЉА",E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.06 Slagalica.mp4
,3,"МИЛАНО, БРЕША, МОНЦА, БЕРГАМО И КОМО СУ НАЈМНОГОЉУДНИЈИ ГРАДОВИ КОЈЕ ИТАЛИЈАНСКЕ РЕГИЈЕ?",ЛОМБАРДИЈЕ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.06 Slagalica.mp4
,4,У КОЈОЈ ПЕСМИ С ИСТОИМЕНОГ АЛБУМА ДАРКВУД ДАБА ИЗ 1996. ГОДИНЕ СЕ ЊЕН НАСЛОВ ОПРАВДАНО ПОНАВЉА УКУПНО 34 ПУТА?,"У НЕДОГЛЕД,",E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.06 Slagalica.mp4
,5,У КОМ АНДРИЋЕВОМ ДЕЛУ СЕ САЛКО ЋОРКАН ИГРА СА ЖИВОТОМ НА МОСТУ КОЈИ ЈЕ УЈЕДНО И ДЕО НАСЛОВА РОМАНА?,НА ДРИНИ ЋУПРИЈА,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.06 Slagalica.mp4
,6,У КОМ ГРАДУ КРАЈ БЕРЛИНА ЈЕ ЈУЛА И АВГУСТА 1945. ГОДИНЕ ОДРЖАНА ПОСЛЕДЊА САВЕЗНИЧКА КОНФЕРЕНЦИЈА У II СВЕТСКОМ РАТУ?,У ПОТСДАМУ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.06 Slagalica.mp4
,7,КОЈИ ТРОСЛОВНИ ОГРАНАК БУДИЗМА ЗАСНОВАН НА МИСТИЦИЗМУ И МЕДИТАЦИЈИ ЈЕ РАСПРОСТРАЊЕН НАРОЧИТО У ЈАПАНУ И КОРЕЈИ?,ЗЕН (ЗЕН-БУДИЗАМ),E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.06 Slagalica.mp4
,8,"КОЈИ АМЕРИЧКИ ГРАД ИМА НАДИМАК „МОТОР СИТИ“, А У ЊЕГОВОМ ПРЕДГРАЂУ ДИРБОРН СЕ НАЛАЗИ СЕДИШТЕ КОМПАНИЈЕ „ФОРД“?",ДЕТРОИТ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.06 Slagalica.mp4
,9,"КОЈОМ ГРЧКОМ РЕЧЈУ НА СЛОВО „Х“ СЕ НАЗИВА ПРЕВЛАСТ ЈЕДНЕ ДРЖАВЕ, НАЦИЈЕ ИЛИ КЛАСЕ НАД ДРУГИМА?",ХЕГЕМОНИЈА,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.06 Slagalica.mp4
,10,"ЂАКОМО АГОСТИНИ ЈЕ РЕКОРДЕР ПО БРОЈУ ТИТУЛА СВЕТСКОГ ПРВАКА У ФОРМУЛИ 1, РЕЛИЈУ ИЛИ МОТОЦИКЛИЗМУ?",МОТОЦИКЛИЗМУ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.06 Slagalica.mp4
2020.11.07 Slagalica.mp4,,,,
,1,У КОМ МОРУ СЕ НАЛАЗИ ГРЧКО ОСТРВО КРФ?,У ЈОНСКОМ МОРУ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.07 Slagalica.mp4
,2,"У ПРЕВОДУ „НАША СТВАР“, КОЈЕ ЈЕ ДРУГО ИМЕ СИЦИЛИЈАНСКЕ МАФИЈЕ?",КОЗА НОСТРА,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.07 Slagalica.mp4
,3,"КОЈЕ ЈЕ ПРЕЗИМЕ ПОЗНАТИХ ГЛУМАЦА, СУПРУГА И СИНА ГЛУМИЦЕ БРАНКЕ ПЕТРИЋ?",ФЕХМИУ / ФЕХМИЈУ (БЕКИМ И УЛИКС),E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.07 Slagalica.mp4
,4,"КОЈИМ ТУРЦИЗМОМ НА СЛОВО „С“ ЗОВЕМО СУШЕНУ, ЗАЧИЊЕНУ КОБАСИЦУ ОД ОВЧИЈЕГ ИЛИ ГОВЕЂЕГ MECA??",СУЏУК,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.07 Slagalica.mp4
,5,"КОЈИ ПОЗНАТИ УГАРСКИ КРАЉ ИЗ 15. ВЕКА ЈЕ БИО СИН ЈАНОША ХУЊАДИЈА, ТО ЈЕСТ СИБИЊАНИН ЈАНКА?",МАТИЈА КОРВИН,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.07 Slagalica.mp4
,6,ЛОТАР ЈЕ ВЕРНИ ПРАТИЛАЦ КОГ МАЂИОНИЧАРА ИЗ СТРИПА?,МАНДРАКА,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.07 Slagalica.mp4
,7,КОЈУ ЛАТИНСКУ РЕЧ ОД 11 СЛОВА КОРИСТИМО ЗА ЧОВЕКА ОСРЕДЊИХ УМНИХ И СТРУЧНИХ СПОСОБНОСТИ?,МЕДИОКРИТЕТ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.07 Slagalica.mp4
,8,"КОЈИ АМЕРИЧКИ РЕПЕР С НАЈУСПЕШНИЈИМ СИНГЛОМ “НОМВГЕ"" ЈЕ 2018. ГОДИНЕ ДОБИО ПУЛИЦЕРОВУ НАГРАДУ ЗА МУЗИКУ?",КЕНДРИК ЛАМАР,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.07 Slagalica.mp4
,9,КОЈА ДРЖАВА ИСТОЧНЕ АФРИКЕ ИМА ПЛАВУ ЗАСТАВУ С БЕЛОМ ЗВЕЗДОМ У ЦЕНТРУ?,СОМАЛИЈА,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.07 Slagalica.mp4
,10,"КОЈИ СПОРТ СЕ У РИЈУ 2016. ПОЈАВИО ПОСЛЕ 112 ГОДИНА ОДСУСТВА СА ОИ, А ЗЛАТО СУ ОСВОЈИЛИ ЏАСТИН РОУЗ, ОДНОСНО ИНБИ ПАРК?",ГОЛФ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.07 Slagalica.mp4
2020.11.08 Slagalica.mp4,,,,
,1,КАКО СЕ ЗОВЕ ЖЕНА КОЈУ У ИСТОИМЕНОЈ ПЕСМИ БИЈЕЛОГ ДУГМЕТА МОЛЕ ДА СЕ НЕ НАГИЊЕ КРОЗ ПРОЗОР?,СЕЛМА,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.08 Slagalica.mp4
,2,КАКО СЕ ЈЕДНОМ РЕЧЈУ НАЗИВА ФАБРИКА ЗА ПРЕЧИШЋАВАЊЕ СИРОВИНА ПОПУТ НАФТЕ ИЛИ ШЕЋЕРА?,РАФИНЕРИЈА,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.08 Slagalica.mp4
,3,КОЈИ АМЕРИЧКИ ГРАД У САВЕЗНОЈ ДРЖАВИ ЊУ ЏЕРЗИ ЈЕ ЧУВЕН ПО КОЦКАРНИЦАМА И ИЗБОРИМА ЗА МИС АМЕРИКЕ?,АТЛАНТИК СИТИ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.08 Slagalica.mp4
,4,КРАЉ ГУСТАВ ДРУГИ АДОЛФ ЈЕ У ТРИДЕСЕТОГОДИШЊЕМ РАТУ С УСПЕХОМ ПРЕДВОДИО ВОЈСКУ КОЈЕ ДРЖАВЕ?,ШВЕДСКЕ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.08 Slagalica.mp4
,5,"КАКО СЕ, ПО РУСКОЈ РЕЧИ ЗА „ИСТОК“, ЗОВЕ НАЈВЕЋЕ ПОЗНАТО ЈЕЗЕРО АНТАРКТИКА?",ВОСТОК,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.08 Slagalica.mp4
,6,КАКО СЕ ЗОВЕ ФИЛМ ИЗ 1994. ГОДИНЕ ЧИЈЕ СЛАБОУМНЕ НАСЛОВНЕ ЈУНАКЕ ГЛУМЕ ЏИМ КЕРИ И ЏЕФ ДАНИЈЕЛС?,ГЛУПАН И ТУПАН (DUMB АМО DUMBER),E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.08 Slagalica.mp4
,7,КОЈОМ ЕНГЛЕСКОМ РЕЧЈУ НА СЛОВО „Б“ ЗОВЕМО РЕЗЕРВНУ КОПИЈУ КОМПЈУТЕРСКИХ ПОДАТАКА?,БЕКАП (ВАСКОР),E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.08 Slagalica.mp4
,8,КОЈИ НАМАЗ ЈЕ НАСТАО НА ЗАХТЕВ НАПОЛЕОНА ТРЕЋЕГ ДА СЕ ИЗМИСЛИ ЗАМЕНА ЗА ПУТЕР ЗА ВОЈНИКЕ И СИРОМАШНЕ?,МАРГАРИН,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.08 Slagalica.mp4
,9,КАКО СЕ НАЗИВА КОНВЕКСНИ ЧЕТВОРОУГАО КОМЕ ЈЕ ЈЕДАН ПАР НАСПРАМНИХ СТРАНИЦА ПАРАЛЕЛАН?,ТРАПЕЗ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.08 Slagalica.mp4
,10,"КОЈА АЗИЈСКА ЗЕМЉА ЈЕ СВОЈЕ ЈЕДИНО УЧЕШЋЕ НА СП У ФУДБАЛУ ИМАЛА У ИТАЛИЈИ 1990. ГОДИНЕ, КАДА ЈЕ ПОРАЖЕНА ОД ЈУГОСЛАВИЈЕ С 4:1?",УЈЕДИЊЕНИ АРАПСКИ ЕМИРАТИ (УАЕ),E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.08 Slagalica.mp4
2020.11.09 Slagalica.mp4,,,,
,1,ТРАНСИЛВАНИЈСКИ АЛПИ СУ ЈУЖНИ ДЕО КОГ ПЛАНИНСКОГ ЛАНЦА?,КАРПАТА,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.09 Slagalica.mp4
,2,КОЈИ МАЂАРСКИ ПЕСНИК И РЕВОЛУЦИОНАР ИЗ 19. ВЕКА ЈЕ РОЂЕН КАО АЛЕКСАНДАР ПЕТРОВИЋ?,ШАНДОР ПЕТЕФИ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.09 Slagalica.mp4
,3,КАКО СЕ КОД НАС ЗОВЕ ТРАДИЦИОНАЛНИ ЈУТАРЊИ ИЗЛЕТ У ПРИРОДУ НА ПРАЗНИК РАДА?,ПРВОМАЈСКИ УРАНАК,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.09 Slagalica.mp4
,4,"КОЈИ ЕВРОПСКИ ГЛАВНИ ГРАД КРАСИ НЕОБИЧНА ЗГРАДА ПОЗНАТА КАО „ПЛЕШУЋА КУЋА“ ИЛИ ,„ФРЕД И ЏИНЏЕР“?",ПРАГ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.09 Slagalica.mp4
,5,"КАКО СЕ ЗОВЕ ТИП БЕСКИЧМЕЊАКА У КОЈИ СПАДАЈУ ПУЖЕВИ, ШКОЉКЕ И ГЛАВОНОШЦИ?",МЕКУШЦИ (МО Ј5СА),E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.09 Slagalica.mp4
,6,"ТРЕНУТНО НАЈСКУПЉИ ФИЛМ СВИХ ВРЕМЕНА, „НА ЧУДНИЈИМ ПЛИМАМА“ ЈЕ ЧЕТВРТИ ДЕО КОГ СЕРИЈАЛА?",ПИРАТИ С КАРИБА,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.09 Slagalica.mp4
,7,НИКОЛА КАРОВИЋ И СЛАВКО ПЕРОВИЋ БИЛИ СУ НАШИ ПОЗНАТИ ИЗВОЂАЧИ МАРИЈАЧИ МУЗИКЕ КОЈА ИЗВОРНО ПОТИЧЕ ИЗ КОЈЕ ЗЕМЉЕ?,ИЗ МЕКСИКА,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.09 Slagalica.mp4
,8,"КАКО СЕ, НА СЛОВО „П“, У ПСИХОЛОГИЈИ НАЗИВА ТЕЖЊА ОСОБЕ ДА СВАКИ ПОСАО УРАДИ САВРШЕНО?",ПЕРФЕКЦИОНИЗАМ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.09 Slagalica.mp4
,9,"КОЈЕ БОЈЕ СУ БИЛЕ УНИФОРМЕ ""СЕВЕРА' У АМЕРИЧКОМ ГРАЂАНСКОМ РАТУ?",ПЛАВЕ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.09 Slagalica.mp4
,10,КАКО СЕ ЗОВЕ БИВША ХРВАТСКА ТЕНИСЕРКА КОЈА ЈЕ 1997. ГОДИНЕ ОСВОЈИЛА РОЛАН ГАРОС У СИНГЛУ?,ИВА МАЈОЛИ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.09 Slagalica.mp4
2020.11.10 Slagalica.mp4,,,,
,1,"КОЈИ НАШ КЊИЖЕВНИК И НОВИНАР ЈЕ СВОЈЕ АФОРИЗМЕ ОБЈАВЉИВАО У ЗБИРКАМА „БЕОГРАДЕ, ДОБРО ЈУТРО“?",ДУШАН ДУШКО РАДОВИЋ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.10 Slagalica.mp4
,2,"КОЈИ НАРОД ИМА ПЛАВО-ЗЕЛЕНУ ЗАСТАВУ У ЧИЈЕМ СЕ ЦЕНТРУ НАЛАЗИ ЦРВЕНИ ТОЧАК, ТО ЈЕСТ ЧАКРА?",РОМИ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.10 Slagalica.mp4
,3,КОЈА ИГРАЧКА САЧИЊЕНА ОД ЕЛАСТИЧНЕ УЗИЦЕ И КАЛЕМА ЈЕ ДАЛА ИМЕ ЕФЕКТУ БРЗОГ ВРАЋАЊА ИЗГУБЉЕНИХ КИЛОГРАМА НАКОН ДИЈЕТЕ?,ЈО-ЈО (ЕФЕКАТ),E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.10 Slagalica.mp4
,4,"КОЈИ ПОП-РОК БЕНД, ИАКО ИЗ БЕОГРАДА, ПЕСМУ „ВЛАК“ ПОЧИЊЕ КРОАТИЗМИМА „ВАНИ ЈЕ БИО МРАК И КАСНИО ЈЕ ВЛАК“?",ЗАНА,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.10 Slagalica.mp4
,5,"КОЈИ НАЗИВ ЗА МОНУМЕНТАЛНУ ГРОБНИЦУ ЈЕ ИЗВОРНО ОЗНАЧАВАО ЈЕДНО ОД СЕДАМ СВЕТСКИХ ЧУДА, СМЕШТЕНО У ХАЛИКАРНАСУ?",МАУЗОЛЕЈ (ПО КРАЉУ МАУЗОЛУ),E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.10 Slagalica.mp4
,6,КОЈИ СТАРОЗАВЕТНИ ЛИК ЈЕ ПАНДАН ДЕУКАЛИОНУ ИЗ ГРЧКЕ МИТОЛОГИЈЕ И УТНАПИШТИМУ ИЗ „ЕПА О ГИЛГАМЕШУ“?,НОЈЕ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.10 Slagalica.mp4
,7,ЛАГОС ЈЕ НАЈМНОГОЉУДНИЈИ И БИВШИ ГЛАВНИ ГРАД КОЈЕ АФРИЧКЕ ДРЖАВЕ?,НИГЕРИЈЕ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.10 Slagalica.mp4
,8,КОЈИ ФИЛМ ЏЕЈМСА КАМЕРОНА ИЗ 2009. ГОДИНЕ СЕ ОДВИЈА НА МЕСЕЦУ ПАНДОРА НАСЕЉЕНОМ ЧОВЕКОЛИКОМ ВАНЗЕМАЉСКОМ РАСОМ НАВИ?,АВАТАР,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.10 Slagalica.mp4
,9,КОЈИ ДРАГИ КАМЕН И ИСТОИМЕНА НИЈАНСА ПЛАВОЗЕЛЕНЕ БОЈЕ СУ НАЗВАНИ ПО ЛАТИНСКОМ ИЗРАЗУ ЗА „МОРСКУ ВОДУ“?,АКВАМАРИН,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.10 Slagalica.mp4
,10,КОЈА ЖЕНСКА ТЕНИСКА РЕПРЕЗЕНТАЦИЈА ЈЕ У МИНУЛОЈ ДЕЦЕНИЈИ ЧАК ШЕСТ ПУТА ОСВОЈИЛА ФЕД КУП?,ЧЕШКА,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.10 Slagalica.mp4
2020.11.11 Slagalica.mp4,,,,
,1,"КАКО СЕ, НА СЛОВО „LL“, ЗОВУ ДУГЕ И ВРЛО ШИРОКЕ ТУРСКЕ ПАНТАЛОНЕ?",ШАЛВАРЕ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.11 Slagalica.mp4
,2,"У КОЈОЈ ЧУВЕНОЈ БРИТАНСКОЈ ТВ СЕРИЈИ ЈЕ ЛИК ПРЕМИНУЛОГ ДЕКЕ ЗАМЕНИО ЊЕГОВ БРАТ, СТРИЦ АЛБЕРТ?",МУЋКЕ (ONLY FOOLS АМО HORSES),E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.11 Slagalica.mp4
,3,КОЈИ ХЕМИЈСКИ ЕЛЕМЕНТ ГРАДИ ПОЗНАТИ АНТИСЕПТИЧКИ РАСТВОР ЗА КОЖУ С ПОЛИМЕРОМ ПОВИДОНОМ?,JON,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.11 Slagalica.mp4
,4,ИЗ КОЈЕ АЗИЈСКЕ ДРЖАВЕ ПОТИЧУ ЧЕСТО ПРОГОЊЕНИ РОХИНЏА МУСЛИМАНИ?,ИЗ МЈАНМАРА / БУРМЕ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.11 Slagalica.mp4
,5,"КОЈИ ЈЕ ПЕВАЧ, ПОЗНАТ КАО „КУМ СОУЛА“, ИМАО ХИТ “I FEEL GOOD“??",ЏЕЈМС БРАУН,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.11 Slagalica.mp4
,6,ШТА СВЕ ИГРАЧИ КОРИСТЕ УМЕСТО ФИГУРА У ДРУШТВЕНОЈ ИГРИ „ТВИСТЕР“?,СВОЈЕ РУКЕ И НОГЕ / СВОЈЕ ТЕЛО / СЕБЕ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.11 Slagalica.mp4
2020.11.12 Slagalica.mp4,,,,
2020.11.13 Slagalica.mp4,,,,
2020.11.14 Slagalica.mp4,,,,
2020.11.15 Slagalica.mp4,,,,
2020.11.21 Slagalica.mp4,,,,
,1,"НАЈВИШИ ВРХ ПЛАНИНЕ РТАЊ ЗОВЕ СЕ ШПИЦ, ШИЉАК ИЛИ ОШТРИЦА?",ШИЉАК,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.21 Slagalica.mp4
,2,"КОЈЕ ЈЕ БИЛО ДЕВОЈАЧКО ПРЕЗИМЕ СРПСКЕ КРАЉИЦЕ ДРАГЕ ОБРЕНОВИЋ, ПОЗНАТЕ ПО ПРЕЗИМЕНУ ИЗ ПРВОГ БРАКА МАШИН?",ЛУЊЕВИЦА,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.21 Slagalica.mp4
,3,У КОМ ЕВРОПСКОМ ГЛАВНОМ ГРАДУ СЕ ОДВИЈА РАДЊА ФИЛМА „ТРЕЋИ ЧОВЕК“ КЕРОЛА РИДА?,У БЕЧУ,E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.21 Slagalica.mp4
,4,"КОЈИ МАТЕМАТИЧКИ ПОЈАМ ЈЕ НАЗВАН ПРЕЗИМЕНОМ ЕНГЛЕСКОГ НАУЧНИКА ЏОНА ВЕНА: ЈЕДНАЧИНА, ДИЈАГРАМ ИЛИ КРИВА?",ДИЈАГРАМ (ВЕНОВ ДИЈАГРАМ),E:\Slagalica\Slagalica-1080p-sve\batch5\2020.11.21 Slagalica.mp4
