episode,#,question,answer,filename
,8,КОЈИ СИСАР СЕ ПОРЕД ЛАВА И ЈЕЛЕНА НАЛАЗИ НА ГРБУ ВОЈВОДИНЕ?,ЧОВЕК,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.16 Slagalica.mp4
,9,"КАКО СЕ ЗОВЕ НАЈВЕЋИ САТЕЛИТ УРАНА, НАЗВАН ПО ВИЛИНСКОЈ КРАЉИЦИ ИЗ ДЕЛА „САН ЛЕТЊЕ НОЋИ“?",ТИТАНИЈА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.16 Slagalica.mp4
,10,ВЕЈН ГРЕЦКИ СЕ СМАТРА НАЈБОЉИМ ИГРАЧЕМ СВИХ ВРЕМЕНА У КОМ СПОРТУ?,У ХОКЕЈУ НА ЛЕДУ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.16 Slagalica.mp4
2018.12.17 Slagalica.mp4,,,,
,1,"ПРВИ РОМАН ЧАРЛСА БУКОВСКОГ ЗОВЕ СЕ „ПОШТА“, „БАНКА“ ИЛИ „МЕЊАЧНИЦА“?",ПОШТА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.17 Slagalica.mp4
,2,КОЈИ ПРЕЛАЗНИ МЕТАЛ ИМА ХЕМИЈСКУ ОЗНАКУ ZR?,ЦИРКОНИЈУМ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.17 Slagalica.mp4
,3,КО ИГРА НАСЛОВНУ УЛОГУ У ФИЛМОВИМА „КОНАН ВАРВАРИН“ И „КОНАН УНИШТИТЕЉ“?,АРНОЛД ШВАРЦЕНЕГЕР,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.17 Slagalica.mp4
,4,ВЕЛИКИ ШТРБАЦ ЈЕ СА НАДМОРСКОМ ВИСИНОМ ОД 768 МЕТАРА НАЈВИШИ ВРХ КОЈЕ СРПСКЕ ПЛАНИНЕ?,МИРОЧ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.17 Slagalica.mp4
,5,КОЈИ СЛАВНИ ИНДИЈСКИ ДИРИГЕНТ ЈЕ ПЕТ ПУТА ДИРИГОВАО БЕЧКИМ НОВОГОДИШЊИМ КОНЦЕРТОМ?,ЗУБИН МЕХТА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.17 Slagalica.mp4
,6,ЏЕМ ОД КОГ ВОЋА ЈЕ ОБАВЕЗАН САСТОЈАК САХЕР ТОРТЕ?,ОД КАЈСИЈЕ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.17 Slagalica.mp4
,7,"КАКО СЕ ЗВАО МЛАДИЋ КОЈИ ЈЕ 356. ГОДИНЕ П. Н., Е. ЗАПАЛИО АРТЕМИДИН ХРАМ У ЕФЕСУ У ЖЕЉИ ДА СЕ ПРОСЛАВИ?",ХЕРОСТРАТ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.17 Slagalica.mp4
,8,КОЈИ ФРАНЦУСКИ ВАЈАР ЈЕ АУТОР ЧУВЕНИХ СКУЛПТУРА „МИСЛИЛАЦ“ И „ПОЉУБАЦ“?,ОГИСТ РОДЕН,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.17 Slagalica.mp4
,9,ЖАН БЕДЕЛ БОКАСА СЕ 1976. ГОДИНЕ ПРОГЛАСИО ЗА ЦАРА КОЈЕ ДАНАШЊЕ АФРИЧКЕ ДРЖАВЕ?,ЦЕНТРАЛНОАФРИЧКЕ РЕПУБЛИКЕ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.17 Slagalica.mp4
,10,КОЈА ФУДБАЛСКА РЕПРЕЗЕНТАЦИЈА ЈЕ ОСВОЈИЛА ТРЕЋЕ МЕСТО НА МУНДИЈАЛУ 2018. ГОДИНЕ У РУСИЈИ?,БЕЛГИЈА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.17 Slagalica.mp4
2018.12.18 Slagalica.mp4,,,,
,1,КОЈА ЈЕ НАЈВИША ПОСТОЈЕЋА КОПНЕНА ЖИВОТИЊА НА СВЕТУ?,ЖИРАФА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.18 Slagalica.mp4
,2,"МЕДИСОН ЈЕ ГЛАВНИ, А МИЛВОКИ НАЈВЕЋИ ГРАД КОЈЕ САВЕЗНЕ ДРЖАВЕ САД?",ВИСКОНСИН,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.18 Slagalica.mp4
,3,КОЈИ МИТОЛОШКИ ЈУНАК СТАРЕ ГРЧКЕ ИМА И ЛАТИНСКО ИМЕ УЛИКС?,ОДИСЕЈ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.18 Slagalica.mp4
,4,"КОЈИ МАЂАРСКО-ЈУГОСЛОВЕНСКИ СВЕТСКИ ПУТНИК ЈЕ НАПИСАО КЊИГУ ЗА ДЕЦУ „КУМЕВАВА, СИН ПРАШУМЕ“?",ТИБОР СЕКЕЉ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.18 Slagalica.mp4
,5,БРАНИМИР МИТРОВИЋ ФЛОЈД ЈЕ ГЛАВНИ ЈУНАК КОГ ДОМАЋЕГ ФИЛМА?,НАЦИОНАЛНА КЛАСА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.18 Slagalica.mp4
,6,"МИХАИЛ ВРУБЕЉ БИО ЈЕ ИСТАКНУТИ РУСКИ ВОЈСКОВОЂА, СЛИКАР ИЛИ ФУДБАЛСКИ ГОЛМАНГ?",СЛИКАР,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.18 Slagalica.mp4
,7,НА КОЈИ ШКОТСКИ ГРАДИЋ СЕ 1988. ГОДИНЕ СРУШИО ПАН АМОВ АВИОН У КОМ ЈЕ ЕКСПЛОДИРАЛА БОМБА?,ЛОКЕРБИ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.18 Slagalica.mp4
,8,"КОЈА РЕЧ ГРЧКОГ ПОРЕКЛА ОЗНАЧАВА __ ЗАЛОЖНО ПРАВО НА НЕКРЕТНИНУ, КОЈЕ ПОВЕРИОЦУ ГАРАНТУЈЕ НАПЛАТУ ПОТРАЖИВАЊА?",ХИПОТЕКА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.18 Slagalica.mp4
,9,ВАШАР ЧЕГА ЈЕ У НАСЛОВУ НАЈПОЗНАТИЈЕГ РОМАНА ЕНГЛЕСКОГ ПИСЦА ВИЛИЈАМА МЕЈКПИСА ТЕКЕРИЈА?,(ВАШАР) ТАШТИНЕ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.18 Slagalica.mp4
,10,Ф91 ДИДЕЛАНЖ ЈЕ ПРВИ УЧЕСНИК ГРУПНЕ ФАЗЕ УЕФА ЛИГЕ ЕВРОПЕ У ИСТОРИЈИ КОЈЕ ЗЕМЉЕ?,ЛУКСЕМБУРГА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.18 Slagalica.mp4
2018.12.19 Slagalica.mp4,,,,
,1,КОЈИ ГРАД НА ЦРНОГОРСКОМ ПРИМОРЈУ СЕ НАЛАЗИ У НАСЛОВУ ХИТА ГРУПЕ ГАЛИЈА ИЗ 1997. ГОДИНЕ?,КОТОР,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.19 Slagalica.mp4
,2,КОЈА ДРЖАВА ЈЕ 1910. ГОДИНЕ АНЕКТИРАЛА КОРЕЈУ?,ЈАПАН,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.19 Slagalica.mp4
,3,„КРАЉЕВСТВО КРИСТАЛНЕ ЛОБАЊЕ“ ЈЕ ЧЕТВРТИ И ЗА САДА ПОСЛЕДЊИ НАСТАВАК КОГ ФИЛМСКОГ СЕРИЈАЛА?,ИНДИЈАНА ЏОНС,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.19 Slagalica.mp4
,4,ДВА НАЈВЕЋА ГРАДА КОЈЕ ДРЖАВЕ СЕ НА НЕКИМ ЈЕЗИЦИМА ЗОВУ ВИЛНО И KOBHO?,ЛИТВАНИЈЕ (ВИЛЊУС И КАУНАС),D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.19 Slagalica.mp4
,5,"КОЈА ЛАТИНСКА РЕЧ ОЗНАЧАВА УЗДРЖАВАЊЕ ОД ЈЕЛА, ПИЋА ИЛИ ФИЗИЧКЕ ЉУБАВИ?",АПСТИНЕНЦИЈА / АПСТИНИРАЊЕ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.19 Slagalica.mp4
,6,КО ЈЕ АУТОР РОМАНА „ЛОВАЦ У РАЖИ (ЖИТУ)“?,Џ. Д. СЕЛИНЏЕР,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.19 Slagalica.mp4
,7,У КОЈУ КЛАСУ МЕКУШАЦА СПАДАЈУ ХОБОТНИЦЕ?,У ГЛАВОНОШЦЕ (СЕРНА(ОРОРОА),D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.19 Slagalica.mp4
,8,КОЈИ ЈЕ УСТАЉЕНИ ЧЕТВОРОСЛОВНИ НАЗИВ ЗА УКРАЈИНСКИ ПАРЛАМЕНТ?,РАДА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.19 Slagalica.mp4
,9,ЧИЈИ СЕ ПЛАЧ НАШАО У НАСЛОВУ ЈЕДНЕ ОД КЊИГА СТАРОГ ЗАВЕТА?,ЈЕРЕМИЈИН,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.19 Slagalica.mp4
,10,КОЈИ ФРАНЦУСКИ ФУДБАЛСКИ КЛУБ ЈЕ ТРЕНЕР ГИ РУ ВОДИО ВИШЕ ОД 40 ГОДИНА?,ОСЕР / ОКСЕР,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.19 Slagalica.mp4
2018.12.20 Slagalica.mp4,,,,
,1,"КОЈИ ВЕБ-САЈТ ПРОИЗВОДИ СТОТИНЕ СВОЈИХ СЕРИЈА, ОД КОЈИХ ЈЕ ПРВА У ЦЕЛОСТИ ЊЕГОВА БИЛА „КУЋА ОД КАРАТА“?",НЕТФЛИКС (МЕТЕЦХ),D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.20 Slagalica.mp4
,2,КОЈА ЛАТИНСКА РЕЧ ОЗНАЧАВА ПРОЦЕНАТ Б ЗАРАДЕ ОД ОБАВЉЕНОГ ПОСЛА КОЈИ СЕ ДАЈЕ ПОСРЕДНИКУ ИЛИ АГЕНТУ?,ПРОВИЗИЈА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.20 Slagalica.mp4
,3,КОЈА РЕЧ ОЗНАЧАВА ДОЗВОЉЕНУ ХРАНУ У ЈУДАИЗМУ?,КОШЕР,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.20 Slagalica.mp4
,4,МИЛТОН ОБОТЕ И ИДИ АМИН БИЛИ СУ ПРЕДСЕДНИЦИ КОЈЕ ДРЖАВЕ?,УГАНДЕ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.20 Slagalica.mp4
,5,КОЈА АНГЛОСАКСОНСКА МЕРА ЗА ДУЖИНУ СЕ НАШЛА У ПРЕЗИМЕНУ ГЛУМЦА КОЈИ ЈЕ ДЕБИТОВАО У ФИЛМУ „ТЕРМИНАТОР 2“?,ФУРЛОНГ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.20 Slagalica.mp4
,6,КОЈИ СРПСКИ ГРАД ЈЕ СЕДИШТЕ СЕВЕРНОБАНАТСКОГ УПРАВНОГ ОКРУГА?,КИКИНДА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.20 Slagalica.mp4
,7,"ТЕРЕНС ТАО И СЕДРИК ВИЛАНИ СПАДА ЈУ У НАЈПОЗНАТИЈЕ ДАНАШЊЕ КОМПОЗИТОРЕ, МАТЕМАТИЧАРЕ ИЛИ АРХИТЕКТЕ?",МАТЕМАТИЧАРЕ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.20 Slagalica.mp4
,8,КОЈУ ГОДИНУ СУ ОБЕЛЕЖИЛЕ ЧЕРНОБИЉСКА КАТАСТРОФА И МАРАДОНИНА „БОЖЈА РУКА“?,1986.,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.20 Slagalica.mp4
,9,КОЈА ЈУГОСЛОВЕНСКА РОК ГРУПА ЈЕ ИМАЛА ХИТ „УЗАЛУД ПИТАШ“?,ХАУСТОР,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.20 Slagalica.mp4
,10,У КОМ ФРАНЦУСКОМ ФУДБАЛСКОМ КЛУБУ ЈЕ ДРАГАН ЏАЈИЋ ОДИГРАО СВОЈЕ ЈЕДИНЕ ДВЕ СЕЗОНЕ У ИНОСТРАНСТВУ?,У БАСТИЈИ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.20 Slagalica.mp4
2018.12.21 Slagalica.mp4,,,,
,1,КАКО СЕ НАЗИВА ПОМОЋНА ДРВЕНА НОГА КАКВУ ЈЕ КОРИСТИО ВУК КАРАЏИЋ?,ШТУЛА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.21 Slagalica.mp4
,2,КОЈА ЗБИРКА ЈЕВРЕЈСКИХ ТЕКСТОВА СЕ САСТОЈИ ОД МИШНЕ И ГЕМАРЕ?,ТАЛМУД,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.21 Slagalica.mp4
,3,"КОЈИ МЕКСИКАНАЦ ЈЕ РЕЖИРАО ФИЛМ „РОМА“, КОЈИ ЈЕ 2018. ГОДИНЕ ДОБИО ЗЛАТНОГ ЛАВА?",АЛФОНСО КУАРОН,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.21 Slagalica.mp4
,4,"КАКО СЛАСИ ПРЕЗИМЕ НОРВЕШКОГ ЛИДЕРА ИЗ ДРУГОГ СВЕТСКОГ РАТА, КОЈЕ ЈЕ ПОСТАЛО СИНОНИМ ЗА ИЗДАЈНИКА?",MKBMCJIMHF,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.21 Slagalica.mp4
,5,КАКО СЕ ЗОВЕ ГРАНА МЕДИЦИНЕ КОЈА СЕ БАВИ РАДОМ И БОЛЕСТИМА БУБРЕГА?,НЕФРОЛОГИЈА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.21 Slagalica.mp4
,6,У КОМ ПОЉСКОМ ГРАДУ СА УНЕСКОВЕ ЛИСТЕ СВЕТСКЕ БАШТИНЕ СЕ РОДИО НИКОЛА КОПЕРНИК?,У ТОРУЊУ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.21 Slagalica.mp4
,7,"НЕ РАЧУНАЈУЋИ „ПРИМОРСКЕ НАПЈЕВЕ“, КОЛИКО ЈЕ РУКОВЕТИ КОМПОНОВАО СТЕВАН МОКРАЊАЦ?",15 (ПЕТНАЕСТ),D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.21 Slagalica.mp4
,8,КАКО ГЛАСИ И ИМЕ ГЛАВНОГ ГРАДА И НАСЛОВ ХИМНЕ ЏИБУТИЈА?,ЏИБУТИ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.21 Slagalica.mp4
,9,КРОЗ КОЈИ ВОНЕГАТОВ АНТИРАТНИ РОМАН ПОДНАСЛОВА „ДЕЧЈИ КРСТАШКИ РАТ“ ИЗНОВА ОДЗВАЊАЈУ РЕЧИ „ТАКО МУ ЈЕ TO“?,КЛАНИЦА ПЕТ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.21 Slagalica.mp4
,10,КАКО СЕ ЗВАО КАНАДСКО-АМЕРИЧКИ ПРОФЕСОР ФИЗИЧКОГ ВАСПИТАЊА КОЈИ ЈЕ ИЗМИСЛИО КОШАРКУ?,ЏЕЈМС НЕЈСМИТ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.21 Slagalica.mp4
2018.12.22 Slagalica.mp4,,,,
,1,"ПОД КОЈИМ ИМЕНОМ И ПРЕЗИМЕНОМ ЈЕ ПОЗНАТА ПЕВАЧИЦА ЛЕПАВА МУШОВИЋ, КОЈА ИЗВОДИ ПЕСМУ „ОД ИЗВОРА ДВА ПУТИЋА“?",ЛЕПА ЛУКИЋ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.22 Slagalica.mp4
,2,"СУДЕЋИ ПО ГРБУ НАРОДНОГ ПОЗОРИШТА У БЕОГРАДУ, КОЈА ЈЕ ГОДИНА ЊЕГОВОГ ОСНИВАЊА?",1868.,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.22 Slagalica.mp4
,3,ЧИЈИ ПРОЛАЗ РАЗДВАЈА ОГЊЕНУ ЗЕМЉУ ОД ЈУЖНОАМЕРИЧКОГ КОНТИНЕНТА?,МАГЕЛАНОВ ПРОЛАЗ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.22 Slagalica.mp4
,4,ГЛУМИЦА МЕГАН МАРКЛ ЈЕ УДАЈОМ ЗА БРИТАНСКОГ ПРИНЦА ХАРИЈА ПОСТАЛА ВОЈВОТКИЊА ОД...?,САСЕКСА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.22 Slagalica.mp4
,5,ИЗ КОЈЕ СУ ЗЕМЉЕ БИЛИ НАДРЕАЛИСТИЧКИ СЛИКАРИ РЕНЕ МАГРИТ И ПОЛ ДЕЛВОГ?,ИЗ БЕЛГИЈЕ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.22 Slagalica.mp4
,6,КАКО СЕ ЗВАО ПРВИ РИМСКИ ЦАРГ?,ОКТАВИЈАН АВГУСТ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.22 Slagalica.mp4
,7,ЈЕДНА АСТРОНОМСКА ЈЕДИНИЦА (АЈ) ПРИБЛИЖНО ЈЕ ЈЕДНАКА УДАЉЕНОСТИ ЗЕМЉЕ ОД КОГ НЕБЕСКОГ ТЕЛА?,СУНЦА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.22 Slagalica.mp4
,8,КОЈА ФРАНЦУСКИЊА ИГРА ГЛАВНУ УЛОГУ У ФИЛМУ „И БОГ СТВОРИ ЖЕНУ“?,БРИЖИТ БАРДО,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.22 Slagalica.mp4
,9,"КАКО СЕ НАЗИВА ЧИН ДАВАЊА МИЛОСТИЊЕ, КОЈИ ПРЕДСТАВЉА ЈЕДАН ОД ПЕТ СТУБОВА ИСЛАМА?",ЗЕКАТ / ЗЕЋАТ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.22 Slagalica.mp4
,10,"СРБИЈА ЈЕ 2018. ПОСТАЛА ПРВАК СВЕТА У ЖЕНСКОЈ ОДБОЈЦИ, А КОЈА СРПКИЊА ЈЕ НАЈБОЉА ИГРАЧИЦА ПРВЕНСТВА?",ТИЈАНА БОШКОВИЋ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.22 Slagalica.mp4
2018.12.23 Slagalica.mp4,,,,
,1,КОЈА НИШКА РОК ГРУПА ИЗВОДИ ПЕСМУ „РАТНЕ ИГРЕ“?,КЕРБЕР,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.23 Slagalica.mp4
,2,КОЈИ ХЕМИЈСКИ ЕЛЕМЕНТ СА ДРУГИМ МЕТАЛИМА ОБРАЗУЈЕ ЛЕГУРЕ КОЈЕ СЕ НАЗИВАЈУ АМАЛГАМИ?,ЖИВА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.23 Slagalica.mp4
,3,КАКО СЕ ЗВАО ФРАНЦУСКО-БРИТАНСКИ СУПЕРСОНИЧНИ АВИОН КОЈИ ЈЕ ПРЕВОЗИО ПУТНИКЕ ОД 1976. ДО 2003. ГОДИНЕ?,КОНКОРД,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.23 Slagalica.mp4
,4,КОЈЕ СУ БОЈЕ ЧУВЕНЕ ЛИТИЦЕ ДОВЕРА НА ЕНГЛЕСКОЈ ОБАЛИ?,БЕЛЕ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.23 Slagalica.mp4
,5,"КОЈИ ФРАНЦУЗ, НАЈИСТАКНУТИЈИ ПРЕДСТАВНИК ФОВИЗМА, ЈЕ АУТОР ЧУВЕНЕ СЛИКЕ „ПЛЕС“?",АНРИ МАТИС,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.23 Slagalica.mp4
,6,КАКО СЕ ЗОВЕ КЛОВН ИЗ ЦРТАНЕ СЕРИЈЕ „ЦИПЕЛИЋИ“?,ЧАРЛИ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.23 Slagalica.mp4
,7,КОЈА ДРЖАВА ПРЕДСТАВЉА СЛОВО „И“ У НАТО ФОНЕТСКОЈ АБЕЦЕДИ?,ИНДИЈА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.23 Slagalica.mp4
,8,"ПРЕМА НАСЛОВУ ХИЧКОКОВОГ ФИЛМА, КОЈЕ СЛОВО ТРЕБА ПОЗВАТИ РАДИ УБИСТВА?",М (ЕМ),D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.23 Slagalica.mp4
,9,КОЈИ ШКОТСКИ МИКРОБИОЛОГ ЈЕ ОТКРИО ППЕННИЦИЛИН?,АЛЕКСАНДАР ФЛЕМИНГ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.23 Slagalica.mp4
,10,"КАКО ГЛАСИ ПСЕУДОНИМ ЧУВЕНОГ АМЕРИЧКОГ ПРОФЕСИОНАЛНОГ РВАЧА КОЈИ ИМА ЗНАЧЕЊЕ ""ПОГРЕБНИК""?",АНДЕРТЕЈКЕР (THE ОМОЕЕТАКЕР),D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.23 Slagalica.mp4
2018.12.24 Slagalica.mp4,,,,
,1,"КОЈИ ЈЕ ЈУНАК ЖИЛА ВЕРНА, КАПЕТАН ПОДМОРНИЦЕ „НАУТИЛУС“, ПОЗНАТ И КАО ПРИНЦ ДАКАР?",КАПЕТАН НЕМО,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.24 Slagalica.mp4
,2,КАКО СЕ ЈЕДНОМ РЕЧЈУ ЗОВЕ ПАСИОНИРАНО САКУПЉАЊЕ ПОШТАНСКИХ МАРАКА?,ФИЛАТЕЛИЈА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.24 Slagalica.mp4
,3,"КОЈИ ШПАНСКИ ГРАД ЈЕ СЛИКАО, А КАСНИЈЕ У ЊЕМУ И УМРО ЕЛ ГРЕКО?",ТОЛЕДО,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.24 Slagalica.mp4
,4,ПЛОД КОЈИМ НАДИМКОМ ОД ДВЕ РЕЧИ ЈЕ БИО ПОЗНАТ ГЛУМАЦ И КОМИЧАР МИОДРАГ АНДРИЋ?,ЉУБА МОЉАЦ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.24 Slagalica.mp4
,5,ПОД КОЈИМ НАЗИВОМ СУ ПОЗНАТА ТРИ РАТА РИМА И КАРТАГИНЕ У ТРЕЋЕМ И ДРУГОМ ВЕКУ ПРЕН. Е?,ПУНСКИ РАТОВИ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.24 Slagalica.mp4
,6,КОЛИКО КУБНИХ ЦЕНТИМЕТАРА ИМА У ЈЕДНОМ КУБНОМ МЕТРУ?,1.000.000 (МИЛИОН),D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.24 Slagalica.mp4
,7,КОЈА ГРУПА ЈЕ С РЕПЕРКОМ КАРДИ BM И МНОГИМ ДРУГИМ УТИЦАЈНИМ ЖЕНАМА СНИМИЛА СПОТ ЗА ПЕСМУ “А! #15 LIKE YOU”?,МАРУН ФАЈВ (МАВООЦ 5),D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.24 Slagalica.mp4
,8,"ДЈУИЈЕВА ДЕЦИМАЛНА КЛАСИФИКАЦИЈА КОРИСТИ СЕ У ГОЛФУ, ПРОИЗВОДЊИ ВИНА ИЛИ БИБЛИОТЕКАРСТВУ?",У БИБЛИОТЕКАРСТВУ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.24 Slagalica.mp4
,9,КОЈЕ ЈЕ НАЈВЕЋЕ ГРЧКО ОСТРВО У ЈОНСКОМ MOPY?,КЕФАЛОНИЈА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.24 Slagalica.mp4
,10,"НИГЕРИЈА, КАМЕРУН, ГАНА, СЕНЕГАЛ - КОЈИ ОД ОВИХ ТИМОВА НИКАД НИЈЕ СТИГАО ДО ЧЕТВРТФИНАЛА СП У ФУДБАЛУ?",НИГЕРИЈА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.24 Slagalica.mp4
2018.12.25 Slagalica.mp4,,,,
,1,"КО ЈЕ РЕЖИРАО ЈУГОСЛОВЕНСКО- ФРАНЦУСКИ ФИЛМ „СЕОБЕ“, ПО МОТИВИМА РОМАНА МИЛОША ЦРЊАНСКОГ?",АЛЕКСАНДАР САША ПЕТРОВИЋ,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.25 Slagalica.mp4
,2,КАКО СЕ НАЗИВА ДУЖ КОЈА ТЕМЕ ТРОУГЛА СПАЈА СА СУПРОТНОМ СТРАНИЦОМ ПОД ПРАВИМ УГЛОМ?,ВИСИНА,D:\Slagalica720p\Slagalica-720p-novi-intro-nova-grafika\batch10\2018.12.25 Slagalica.mp4
